CompanyName,CompanyNumber,RegAddress.CareOf,RegAddress.POBox,RegAddress.AddressLine1,RegAddress.AddressLine2,RegAddress.PostTown,RegAddress.County,RegAddress.Country,RegAddress.PostCode,CompanyCategory,CompanyStatus,CountryOfOrigin,DissolutionDate,IncorporationDate,Accounts.AccountRefDay,Accounts.AccountRefMonth,Accounts.NextDueDate,Accounts.LastMadeUpDate,Accounts.AccountCategory,Returns.NextDueDate,Returns.LastMadeUpDate,Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,SICCode.SicText_1,SICCode.SicText_2,SICCode.SicText_3,SICCode.SicText_4,LimitedPartnerships.NumGenPartners,LimitedPartnerships.NumLimPartners,URI,PreviousName_1.CONDATE,PreviousName_1.CompanyName,PreviousName_2.CONDATE,PreviousName_2.CompanyName,PreviousName_3.CONDATE,PreviousName_3.CompanyName,PreviousName_4.CONDATE,PreviousName_4.CompanyName,PreviousName_5.CONDATE,PreviousName_5.CompanyName,PreviousName_6.CONDATE,PreviousName_6.CompanyName,PreviousName_7.CONDATE,PreviousName_7.CompanyName,PreviousName_8.CONDATE,PreviousName_8.CompanyName,PreviousName_9.CONDATE,PreviousName_9.CompanyName,PreviousName_10.CONDATE,PreviousName_10.CompanyName,ConfStmtNextDueDate,ConfStmtLastMadeUpDate,Raw_Extracted_VAT,Verified_VAT,Validation_Status
THAMES LUXURY CHARTERS LTD.,02776124,,,9-10 COPPER ROW,,LONDON,,UNITED KINGDOM,SE1 2LH,Private Limited Company,Active,United Kingdom,,23/12/1992,31.0,12.0,30/09/2027,31/12/2025,TOTAL EXEMPTION FULL,12/01/2017,15/12/2015,29,7,0,22,50300 - Inland passenger water transport,,,,0,0,http://business.data.gov.uk/id/company/02776124,,,,,,,,,,,,,,,,,,,,,29/12/2026,15/12/2025,626139248,,Invalid_HMRC
CIS PARTNERSHIP LIMITED IN LIMITED PARTNERSHIP WITH STUART STOTHARD,LP010261,,,37 LOMBARD STREET,LONDON,,,,EC3V 9BQ,Limited Partnership,Active,United Kingdom,,04/03/2005,,,,,NO ACCOUNTS FILED,,,0,0,0,0,None Supplied,,,,1,1,http://business.data.gov.uk/id/company/LP010261,,,,,,,,,,,,,,,,,,,,,18/03/2017,,,,No_VAT_Found
HAT EVENTS LIMITED,16682262,,,17 HEATHER CRESCENT,,MELTON MOWBRAY,,ENGLAND,LE13 0FP,Private Limited Company,Active,United Kingdom,,29/08/2025,31.0,8.0,29/05/2027,,NO ACCOUNTS FILED,26/09/2026,,0,0,0,0,56210 - Event catering activities,,,,0,0,http://business.data.gov.uk/id/company/16682262,,,,,,,,,,,,,,,,,,,,,11/09/2026,,439910766,,Invalid_HMRC
BDL NORTH PARTNERS LTD,16473813,,,8 MORESBY ROAD,,LONDON,,ENGLAND,E5 9LF,Private Limited Company,Active,United Kingdom,,26/05/2025,31.0,5.0,26/02/2027,,NO ACCOUNTS FILED,23/06/2026,,0,0,0,0,68320 - Management of real estate on a fee or contract basis,,,,0,0,http://business.data.gov.uk/id/company/16473813,,,,,,,,,,,,,,,,,,,,,08/06/2027,25/05/2026,,,No_VAT_Found
IYOUWORK LTD,17279551,,,124-128 CITY ROAD,,LONDON,,ENGLAND,EC1V 2NX,Private Limited Company,Active,United Kingdom,,17/06/2026,30.0,6.0,17/03/2028,,NO ACCOUNTS FILED,15/07/2027,,0,0,0,0,63120 - Web portals,82990 - Other business support service activities n.e.c.,,,0,0,http://business.data.gov.uk/id/company/17279551,,,,,,,,,,,,,,,,,,,,,30/06/2027,,927305330,,Invalid_HMRC
CCN IMMIGRATION LIMITED,16249681,,,OFFICE 11634 182-184 HIGH STREET NORTH,EAST HAM,LONDON,,UNITED KINGDOM,E6 2JA,Private Limited Company,Active,United Kingdom,,13/02/2025,28.0,2.0,13/11/2026,,NO ACCOUNTS FILED,13/03/2026,,0,0,0,0,82990 - Other business support service activities n.e.c.,,,,0,0,http://business.data.gov.uk/id/company/16249681,,,,,,,,,,,,,,,,,,,,,26/02/2027,12/02/2026,,,No_VAT_Found
MYLAN OSCAR PROPERTY LETTING LIMITED,16333765,,,49 RADBOURNE ROAD,SHIRLEY,SOLIHULL,,ENGLAND,B90 3RS,Private Limited Company,Active,United Kingdom,,21/03/2025,31.0,3.0,31/12/2027,31/03/2026,DORMANT,18/04/2026,,0,0,0,0,68100 - Buying and selling of own real estate,,,,0,0,http://business.data.gov.uk/id/company/16333765,,,,,,,,,,,,,,,,,,,,,02/02/2027,19/01/2026,,,No_VAT_Found
INFRONIX LTD,16457984,,,COLLINGWOOD BUILDINGS,COLLINGWOOD STREET,NEWCASTLE UPON TYNE,,ENGLAND,NE1 1JF,Private Limited Company,Active,United Kingdom,,19/05/2025,31.0,5.0,19/02/2027,,NO ACCOUNTS FILED,16/06/2026,,0,0,0,0,62090 - Other information technology service activities,,,,0,0,http://business.data.gov.uk/id/company/16457984,,,,,,,,,,,,,,,,,,,,,01/06/2027,18/05/2026,,,No_VAT_Found
TAIF LED ELECTRICAL AND LIGHTING MATERIALS LIMITED,11135267,,,1350 GREENFORD ROAD,,GREENFORD,LONDON,ENGLAND,UB6 0HL,Private Limited Company,Active,United Kingdom,,05/01/2018,31.0,1.0,31/10/2027,31/01/2026,DORMANT,02/02/2019,,0,0,0,0,46900 - Non-specialised wholesale trade,,,,0,0,http://business.data.gov.uk/id/company/11135267,,,,,,,,,,,,,,,,,,,,,18/01/2027,04/01/2026,,,No_VAT_Found
IZERONE SOLUTIONS LTD,06898254,,,9 ANGUS CLOSE,,WINNERSH,,,RG41 5GS,Private Limited Company,Active,United Kingdom,,07/05/2009,31.0,5.0,28/02/2027,31/05/2025,TOTAL EXEMPTION FULL,04/06/2017,07/05/2016,0,0,0,0,62020 - Information technology consultancy activities,,,,0,0,http://business.data.gov.uk/id/company/06898254,,,,,,,,,,,,,,,,,,,,,21/05/2027,07/05/2026,,,No_VAT_Found
INK EASE LIMITED,16926752,,,19 JUBILEE AVENUE,,PORTSMOUTH,,ENGLAND,PO6 4QN,"PRI/LTD BY GUAR/NSC (Private, limited by guarantee, no share capital)",Active,United Kingdom,,22/12/2025,31.0,12.0,22/09/2027,,NO ACCOUNTS FILED,19/01/2027,,0,0,0,0,47750 - Retail sale of cosmetic and toilet articles in specialised stores,,,,0,0,http://business.data.gov.uk/id/company/16926752,,,,,,,,,,,,,,,,,,,,,04/01/2027,,,,No_VAT_Found
